Year,State,Ag District,County,Value,price_received,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,NDVI,EVI,GPP,SSM_0,SSM_10,SSM_40,SSM_100,NDWI
2020,ILLINOIS,CENTRAL,LOGAN,86.9,5.39,549.5,549.5,112,71.75,8,11.66666667,5.333333333,1,122,18,161,25,32,21.33333333,-21.1,76,79.66666667,73.325,34.4,0,-2.8,-7.8,-7.8,-9.4,-1.1,-4.4,-4.4,-8.9,-8.9,3070.4,3070.4,950.74,345.6666667,11.64,17.41,5.86,0.316894739,0.184477642,377.9157507,0.299633103,0.30728448,0.268694398,0.378176028,-0.00096896
2020,ILLINOIS,CENTRAL,MACON,70.8,5.39,604.4,604.4,120.3333333,73.33333333,9.666666667,11,4,1,105,17.5,155.5,23,106,27.33333333,-19.1,76,79,52.06666667,33.85,-0.5,-4.15,-5.55,-7.2,-11.9,-1.1,-3,-6.9,-8,-10.8,2993.2,2993.2,988.7666667,320,12.04,17.16,6.915,0.338520966,0.189933964,361.1522254,0.308229123,0.318269935,0.279943931,0.380197901,-0.006320862
2020,ILLINOIS,CENTRAL,MASON,68.8,5.39,591.7666667,591.7666667,111.1334344,73.16440605,11.40569564,17.94612403,6.211594203,1.67037037,118.5907407,18.67572464,157.2971014,22.23007246,3,15,-19.45240741,85.33410853,87.23514493,71.34765329,34.46811594,-0.785185185,-3.521666667,-5.686296296,-7.65037037,-11.24574074,-1.150740741,-3.19462963,-6.05962963,-8.142037037,-10.76814815,3038.228862,3038.228862,1088.379924,395.5804348,11.78896296,17.34016304,6.275185185,0.346301363,0.208116542,428.6112006,0.297453861,0.30736261,0.262265969,0.370017995,0.001526179
2020,ILLINOIS,CENTRAL,MENARD,84.3,5.39,612,612,104.5,70.5,6.5,17.94612403,6.211594203,2,121,16,162,21,29.31560284,17.84280303,-21.1,85.33410853,87.23514493,68.2,33.9,0,-4.4,-4.4,-7.8,-14.4,-0.6,-2.8,-8.9,-8.9,-8.9,3038.228862,3038.228862,894,395.5804348,11.83,17.37,6.29,0.362910088,0.206257101,431.1761233,0.291595152,0.302031066,0.268079748,0.381151139,0.003517145
2020,ILLINOIS,CENTRAL,PEORIA,63,5.39,614.2,614.2,110.8,66.4,8.8,31.5,9.5,2,120,22,152,24,82.5,25,-22.7,101,89,80.86,35.6,-0.5,-3.2,-6.6,-7.1,-13.8,-1,-2.7,-10.5,-10.5,-10.5,3135.6,3135.6,950.64,617,11.63,16.92,6.35,0.407459717,0.230024369,454.5972624,0.308844579,0.320367327,0.272321036,0.374064904,0.014178316
2020,ILLINOIS,CENTRAL,TAZEWELL,76.6,5.39,591.7666667,591.7666667,113.25,64,9.5,24,9,1.67037037,118.5907407,18.67572464,157.2971014,22.23007246,28.5,19,-19.45240741,76,86,116.325,34.46811594,-0.785185185,-3.521666667,-5.686296296,-7.65037037,-11.24574074,-1.150740741,-3.19462963,-6.05962963,-8.142037037,-10.76814815,3038.228862,3038.228862,1002.4,528,11.78896296,17.34016304,6.275185185,0.36116553,0.218314455,429.9108158,0.296618738,0.31097573,0.264220332,0.37046392,0.008354373
2020,ILLINOIS,EAST,CHAMPAIGN,69.8,5.39,530.275,530.275,116.6923077,73.23076923,9.615384615,11,5.5,2,128.5,18.75,155.25,16.75,94.8,23.33333333,-21.15,76,78,72.70769231,34.075,-1.425,-2.725,-5.25,-7.175,-11.55,-1.725,-3.05,-5.075,-7.9,-10.225,3158.2,3158.2,1046.933333,363.75,11.335,16.985,5.685,0.31661751,0.176147485,357.1332459,0.305369393,0.324559711,0.26311642,0.367070667,-0.001538137
2020,ILLINOIS,EAST,FORD,71.9,5.39,454,454,85,70,7,14,6,2,136,28,151,11,29.31560284,17.84280303,-21.1,102,102,52.1,33.9,-2.8,-2.8,-7.2,-7.2,-8.9,-3.3,-3.3,-4.4,-6.7,-9.4,3391.8,3391.8,883.8,304,10.49,16.15,4.83,0.291862667,0.172020009,342.9972984,0.302642871,0.324756231,0.264573067,0.367406113,-0.001014142
2020,ILLINOIS,EAST,IROQUOIS,67.1,5.39,591.7666667,591.7666667,122.5,68,6,17.94612403,6.211594203,1.67037037,118.5907407,18.67572464,157.2971014,22.23007246,29.31560284,17.84280303,-19.45240741,85.33410853,87.23514493,64,34.46811594,-0.785185185,-3.521666667,-5.686296296,-7.65037037,-11.24574074,-1.150740741,-3.19462963,-6.05962963,-8.142037037,-10.76814815,3038.228862,3038.228862,834.7,395.5804348,11.78896296,17.34016304,6.275185185,0.301447207,0.168897455,349.0567689,0.304763019,0.322028644,0.271315826,0.367544949,-0.003804868
2020,ILLINOIS,EAST,LIVINGSTON,66.8,5.39,578.8,578.8,109,68.5,11.5,17,7,1,115,26,138,16,11,5,-18.9,84.66666667,85.5,74.15,37.8,0,-6.1,-6.1,-11.1,-11.1,0,-2.2,-8.3,-8.3,-9.4,3316.6,3316.6,1007.6,403.5,11.34,15.85,6.82,0.298279225,0.167221835,334.2360857,0.302555596,0.322910927,0.278789244,0.37770187,-0.004915775
2020,ILLINOIS,EAST,VERMILION,70,5.39,546.6666667,546.6666667,125.2857143,78.71428571,11.71428571,13,4,1.333333333,119,16.66666667,158.3333333,17.66666667,64,30,-21.63333333,76,86,66.58571429,34.06666667,-1.3,-2.4,-7.033333333,-7.966666667,-10,-2.033333333,-2.6,-5,-7.066666667,-10.53333333,3059.166667,3059.166667,1095.385714,314,11.63,17.18666667,6.076666667,0.339497319,0.193649734,392.2393406,0.305321908,0.317134672,0.251976356,0.360358941,-0.000577758
2020,ILLINOIS,EAST SOUTHEAST,CLARK,72.8,5.39,655.7,655.7,108,78,16,2,1,0,116,10,167,30,17,10,-17.2,25,25,102.1,35,-1.1,-2.8,-5.6,-7.2,-13.3,-1.1,-2.2,-5,-7.2,-11.7,2839.3,2839.3,1257.7,45,12.51,18.45,6.57,0.373716986,0.231595128,477.6596112,0.31092983,0.321775043,0.299058902,0.38001108,-0.006089585
2020,ILLINOIS,EAST SOUTHEAST,CLAY,67.9,5.39,715.1,715.1,117,83.5,17.5,1,1,0,99,7,169,43,16,10,-15,25,25,94.5,36.7,-1.1,-3.9,-5,-7.2,-13.3,-0.6,-3.3,-6.7,-6.7,-10.6,2709.9,2709.9,1450,25,13.13,19.1,7.16,0.418731826,0.250291374,504.6702989,0.321080878,0.323830371,0.311018985,0.384235918,-0.005656824
